"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestUnmarshalInt64Overflow","1","TestUnmarshalInt64Overflow","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64Overflow","TestUnmarshalInt64Overflow"
"","0","returns the distance between two coordinates","getDistanceBetween","Mon Jan 26 22:02:51 UTC 2026","passed","Mon Jan 26 22:02:51 UTC 2026","","","",""
"","250","toggles parent from none to all","SourceKindsCheckboxes","Mon Jan 26 21:59:06 UTC 2026","passed","Mon Jan 26 21:59:07 UTC 2026","","","",""
"","1932","requires a password to disable MFA for a user when logged in without SSO","Users","Mon Jan 26 21:58:57 UTC 2026","passed","Mon Jan 26 21:58:59 UTC 2026","","","",""
"","0","The user has yet to type into the search (for OU and Domain searches that have hard coded types)","Getting the text for the disabled item display for a search when there are no results","Mon Jan 26 21:59:49 UTC 2026","passed","Mon Jan 26 21:59:49 UTC 2026","","Empty data states","",""
"Test cases for TestAuth_CreateSSOSession","0","TestAuth_CreateSSOSession","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestAuth_CreateSSOSession","TestAuth_CreateSSOSession"
"Test cases for TestManagementResource_DeleteUser_BadUserID","0","TestManagementResource_DeleteUser_BadUserID","","Mon Jan 26 21:57:17 UTC 2026","passed","Mon Jan 26 21:57:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_BadUserID","TestManagementResource_DeleteUser_BadUserID"
"Test cases for TestError","0","TestError","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestError","TestError"
"Test cases for TestResources_ListAuditLogs_InvalidPredicate","0","TestResources_ListAuditLogs_InvalidPredicate","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_InvalidPredicate","TestResources_ListAuditLogs_InvalidPredicate"
"","54","should hide Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is false","CreateUserForm","Mon Jan 26 21:58:09 UTC 2026","passed","Mon Jan 26 21:58:09 UTC 2026","","","",""
"","48","Should display a list of the asset group members","AssetGroupMemberList","Mon Jan 26 22:01:03 UTC 2026","passed","Mon Jan 26 22:01:03 UTC 2026","","","",""
"","67","when there is no ID in the URL the highest position tag ID is returned","usePZQueryParams","Mon Jan 26 21:59:52 UTC 2026","passed","Mon Jan 26 21:59:52 UTC 2026","","","",""
"Test cases for TestServeHTTP_Success","0","TestServeHTTP_Success","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestServeHTTP_Success","TestServeHTTP_Success"
"","427","calls handleFilterChange when a node type is selected","AssetGroupEdit","Mon Jan 26 21:58:31 UTC 2026","passed","Mon Jan 26 21:58:31 UTC 2026","","Node Type dropdown filter","",""
"Test cases for TestIntIsZero","0","TestIntIsZero","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntIsZero","TestIntIsZero"
"Test cases for TestBHCEStaticHandler","35","TestBHCEStaticHandler","","Mon Jan 26 21:56:48 UTC 2026","passed","Mon Jan 26 21:56:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/static/TestBHCEStaticHandler","TestBHCEStaticHandler"
"","120","renders Empty when items is undefined and Empty is provided","<DetailsAccordion />","Mon Jan 26 21:58:21 UTC 2026","passed","Mon Jan 26 21:58:21 UTC 2026","","","",""
